date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:26	9646/9646	---M--	200	added ('OK')	image/png	etag:%2225ae-5caf0a85886d8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/img/aksen.png	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/img/aksen.png	(from https://delda-rian.webnikah.com/)
12:48:27	789747/789747	---M--	200	added ('OK')	image/jpeg	etag:%22c0cf3-5ff652c4dd580%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/wanita-222458-230701111442-l.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/wanita-222458-230701111442-l.jpg	(from https://delda-rian.webnikah.com/)
12:48:29	131964/131964	---M--	200	added ('OK')	image/jpeg	etag:%222037c-5ffa280f133db%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/cerita-222458-69721-20230704122456.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/cerita-222458-69721-20230704122456.jpg	(from https://delda-rian.webnikah.com/)
12:48:29	1506083/1506083	---M--	200	added ('OK')	image/jpeg	etag:%2216fb23-5ffa2126102e3%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/slide-222458-158245-l-202307041154.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/slide-222458-158245-l-202307041154.jpg	(from https://delda-rian.webnikah.com/)
12:48:29	543138/543138	---M--	200	added ('OK')	image/jpeg	etag:%22849a2-5ff6529f4358e%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/pria-222458-230701111402-l.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/pria-222458-230701111402-l.jpg	(from https://delda-rian.webnikah.com/)
12:48:29	845/845	---M--	200	added ('OK')	image/png	etag:%2234d-5caf0a8596198%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/img/ornaments.png	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/img/ornaments.png	(from https://delda-rian.webnikah.com/)
12:48:30	205974/205974	---M--	200	added ('OK')	image/jpeg	etag:%2232496-5ffa287e2abfb%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/cerita-222458-69722-20230704122653.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/cerita-222458-69722-20230704122653.jpg	(from https://delda-rian.webnikah.com/)
12:48:30	276217/276217	---M--	200	added ('OK')	image/jpeg	etag:%22436f9-5ffa2966cb99a%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/cerita-222458-69884-20230704123056.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/cerita-222458-69884-20230704123056.jpg	(from https://delda-rian.webnikah.com/)
12:48:36	993124/993124	---M--	200	added ('OK')	image/jpeg	etag:%22f2764-5ff6534962380%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/photo-222458-265744-l-202307011117.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/photo-222458-265744-l-202307011117.jpg	(from https://delda-rian.webnikah.com/)
12:48:37	1052513/1052513	---M--	200	added ('OK')	image/jpeg	etag:%22100f61-5ff6536ac7109%22	https://delda-rian.webnikah.com/dirmember/00000023/azhary_disini/photo-222458-265745-l-202307011117.jpg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/dirmember/00000023/azhary_disini/photo-222458-265745-l-202307011117.jpg	(from https://delda-rian.webnikah.com/)
